Station Code,Station Name,STATE,Temperature Min,Temperature Max,pH Min,pH Max,Conductivity (µmhos/cm) Min,Conductivity (µmhos/cm) Max,Year
26,WELL AT VIJAYWADA,ANDHRA PRADESH,25,27,7.9,8.1,1410,1732,2017
1513,"BOREWELL KRISHNA MURTHY, D.NO. 48-16-43
AUTONAGAR VIJJAYAWADA",ANDHRA PRADESH,26,29,8,8.2,1180,1729,2017
1514,"BOREWELL VIJAY KUMAR AUTONAGAR
VIJAYAWADA",ANDHRA PRADESH,26,28,7.8,8.2,1410,1604,2017
1516,"BOREWELL OF NAVLOK GARDENS, NELLORE",ANDHRA PRADESH,27,27,8.3,8.3,1020,1074,2017
1517,BOREWELL NEAR TUNGBHADRA RIVER KURNOOL,ANDHRA PRADESH,21,23,7.6,7.9,2240,4700,2017
1518,BOREWELL AT NANDYAL (KUNDU),ANDHRA PRADESH,23,24,7.7,7.8,4400,4420,2017
1519,BOREWELL AT NAGIRI,ANDHRA PRADESH,25,31,7.5,7.5,1763,1973,2017
1520,"BOREWELL NEAR SWARNAMUKHI RIVER AT
SRIKALAHASTI",ANDHRA PRADESH,26,29,7.6,7.7,735,1285,2017
1521,"OPEN WELL NEAR RAMA TEMPLE , WARD NO.2 ,
MINDI , VISAKHAPATNAM",ANDHRA PRADESH,26,27,6.9,7.3,2787,3163,2017
1522,OPEN WELL PEDDANUVVI - VIZIANAGARAM,ANDHRA PRADESH,26,28,7.2,7.9,514,782,2017
1523,"BOREWELL NEAR M/S ANDHRA SUGARS LTD. ,
KOVVUR",ANDHRA PRADESH,25,26,6.9,7.7,464,590,2017
1524,OPEN WELL NEAR PARTAP NAGAR BRIDGE -KAKINADA,ANDHRA PRADESH,27,29,6.9,7.8,1403,1681,2017
3087,"BORE WELL NEAR VILLAGE SECRETARIAT,
PATHAPADU (V)",ANDHRA PRADESH,26,26,7.3,7.7,2110,2310,2017
3089,"HAND PUMP AT TANAM VILL., VISHAKHAPATNAM",ANDHRA PRADESH,25,27,7.3,7.5,2223,2234,2017
