Station Code,Station Name,STATE,Temperature Min,Temperature Max,pH Min,pH Max,Conductivity (µmhos/cm) Min,Conductivity (µmhos/cm) Max,Year
26,"WELL AT GRAM PANCHAYAT
OFFICE, KAANURU, VIJAYWADA",ANDHRA PRADESH,25,26,7.8,7.9,1814,1841,2019
1513,"BOREWELL KRISHNA MURTHY,
D.NO. 48-16-43 AUTONAGAR
VIJJAYAWADA",ANDHRA PRADESH,26,26,7.4,7.7,1796,1873,2019
1514,"BOREWELL VIJAY KUMAR
AUTONAGAR VIJAYAWADA",ANDHRA PRADESH,25,26,7.4,7.7,1561,1875,2019
1516,"BOREWELL OF NAVLOK
GARDENS, NELLORE",ANDHRA PRADESH,19,19,7.8,8.1,890,1566,2019
1517,"BOREWELL NEAR TUNGBHADRA
RIVER KURNOOL",ANDHRA PRADESH,22,22,7.5,7.5,5010,5010,2019
1518,"BOREWELL AT NANDYAL
(KUNDU)",ANDHRA PRADESH,21,23,6.8,7.2,6620,7410,2019
1519,BOREWELL AT NAGIRI,ANDHRA PRADESH,29,30,6.6,7,1820,2160,2019
1520,"BOREWELL NEAR
SWARNAMUKHI RIVER AT
SRIKALAHASTI",ANDHRA PRADESH,29,30,6.7,7.4,789,830,2019
1521,"OPEN WELL NEAR RAMA TEMPLE
, WARD NO.2 , MINDI ,
VISAKHAPATNAM",ANDHRA PRADESH,28,28,7.4,8.5,2229,2295,2019
1522,OPEN WELL PEDDANUVVI -VIZIANAGARAM,ANDHRA PRADESH,27,27,7,8.3,597,2669,2019
1523,"BOREWELL NEAR M/S ANDHRA
SUGARS LTD. , KOVVUR",ANDHRA PRADESH,29,31,7.4,7.4,289,326,2019
1524,"OPEN WELL NEAR PARTAP
NAGAR BRIDGE -KAKINADA",ANDHRA PRADESH,27,30,7.6,7.8,1089,2641,2019
3087,"BORE WELL NEAR VILLAGE
SECRETARIAT, PATHAPADU (V)",ANDHRA PRADESH,26,28,7.5,7.8,2093,2152,2019
3089,"HAND PUMP AT TANAM VILL.,
VISHAKHAPATNAM",ANDHRA PRADESH,28,28,7.6,8.7,982,2359,2019
3090,"HAND PUMP AT
PITTAVANIPALEM,
VISHAKHAPATNAM",ANDHRA PRADESH,27,28,7.1,7.6,3543,4652,2019
3091,"BORE WELL AT KAPULUPPADA
DUMPSITE, VISHAKHAPATNAM",ANDHRA PRADESH,27,28,7.4,7.5,1997,2849,2019
3092,"BORE WELL AT ARINAMA
AKKIVALASA, SRIKAKULAM",ANDHRA PRADESH,26,27,7.3,8.4,1059,1200,2019
3093,"BORE WELL AT ALLADAPALEM
VILLAGE, PYDIBHIMAVARAM",ANDHRA PRADESH,28,29,7.8,8.2,1274,1876,2019
4350,"BOREWELL AT ZP HIGH SCHOOL,
UDDANAM REGION,
AMALAPADU (V)
VAJRAPUKOTTURU",ANDHRA PRADESH,26,26,7,7.9,967,1291,2019
4353,"BORE WELL AT MANGARAJU
HOUSE, GAJAPATHINAGARAM
VILLAGE, PAYAKARAOPETA (M)",ANDHRA PRADESH,25,25,7.5,7.5,2457,2457,2019
4354,"BORE WELL, SRI NOOKATATA
TEMPLE RAJAYYAPETA VILLAGE,
NAKKAPALLI (M)",ANDHRA PRADESH,25,25,7.9,7.9,13150,13150,2019
4355,"BORE WELL, CHIPPADA VILLAGE,
BHEEMUNIPATNAM (M)",ANDHRA PRADESH,26,26,7.5,7.5,314,314,2019
4360,"BORE WELL AT IDA,
RAMANAYYAPETA, KKAINADA",ANDHRA PRADESH,25,25,7.1,7.1,1560,1560,2019
4364,"BOREWELL AT RAJIV GRUHA
KA;PA, NEAR AP PAPER MAILLS
WORKERS COLONY,
MALLAYAPETA, KATHERU,
RAJAMAHENDRAVARAM",ANDHRA PRADESH,27,27,7.3,7.3,892,892,2019
4376,"BOREWELL WATER , APIIC
OFFICE, IDA KONDAPALLI,
IBRAHIMPATNAM (M)",ANDHRA PRADESH,25,29,7.6,7.9,2990,3082,2019
