Station Code,Station Name,STATE,Temperature Min,Temperature Max,pH Min,pH Max,Conductivity (µmhos/cm) Min,Conductivity (µmhos/cm) Max,Year
1533,"*DIGBOI, TINSUKIA DISTT.,ASSAM",Assam,23,24,6.4,6.6,734,762,2014
1534,"*KARBIANGLONG DISTT., ASSAM",Assam,23,24,6.2,6.5,205,470,2014
1535,"*SIBSAGAR , ASSAM",Assam,24,25,6.4,7.5,302,364,2014
1536,"*SIBSAGAR, ASSAM",Assam,20,25,5.5,5.8,696,885,2014
1537,"*(JORHAT, ASSAM",Assam,24,25,6.6,7.4,440,579,2014
1538,"*SILCHAR, ASSAM",Assam,20,24,4.7,5.4,100,149,2014
1539,"*BARPETA, ASSAM",Assam,24,31,6.2,7.4,154,1043,2014
1540,"*BONAIGAON, ASSAM",Assam,23,32,5.3,6.4,146,746,2014
1541,"*GUWAHATI, ASSAM",Assam,22,24,6.3,6.4,734,1362,2014
1542,"*GUWAHATI, ASSAM",Assam,24,26,6.5,7.3,440,991,2014
2243,"GROUND WATER FROM LEDO, MARGHERITA",Assam,23,23,5.7,5.7,436,745,2014
2244,GROUND WATER FROM NAZIRA,Assam,21,25,6.3,6.9,520,604,2014
2245,GROUND WATER FROM NUMALIGARH (NEAR NRL TE LABOR COLONY),Assam,25,28,5.4,5.9,95,400,2014
2246,GROUND WATER FROM SEMENCHAPARI,Assam,20,22,6.2,6.9,470,617,2014
2247,GROUND WATER FROM SILAPATHAR,Assam,20,22,6.1,6.2,591,706,2014
2248,GROUND WATER FROM LAKHIMPUR TOWN,Assam,26,26,6,7.1,810,823,2014
2249,GROUND WATER FROM TEZPUR (MISSION CHARIALI),Assam,26,28,5.8,6.4,142,247,2014
2250,GROUND WATER FROM NAGAON (PANIGAON),Assam,28,29,6.5,6.6,371,578,2014
2251,GROUND WATER FROM JAGIROAD NEAR HPC EFFLUENT DISCHARGE POINT,Assam,25,29,5.7,7.2,995,1648,2014
2252,GROUND WATER NEAR MSW DUMPING SITE AT GARCHUK-GUWAHATI,Assam,24,24,6.4,6.4,417,417,2014
2253,GROUND WATER FROM NALBARI,Assam,25,26,6.6,7.1,456,745,2014
2254,GROUND WATER FROM BARPETA ROAD(RLY STATION),Assam,25.1,32,6.8,7,870,1205,2014
2255,"GROUND WATER NEAR BPRL, DHALIGAON",Assam,26.5,32,6.4,7.4,600,893,2014
2256,GROUND WATER FROM KOKRAJHAR DISTRICT (HS SCHOOL ),Assam,25,32,6.4,6.5,136,893,2014
2257,GROUND WATER FROM DHUBRI DISTRICT (COLLEGE NAGAR ),Assam,24.2,34,7.2,7.2,729,1036,2014
2258,GROUND WATER FROM GOALPARA DIST. (GOALPARA COLLEGE ),Assam,27,33,6.5,6.6,465,613,2014
2259,GROUND WATER FROM DIPHU (GOVT. COLLEGE),Assam,28,29,7.2,7.5,1126,1904,2014
2261,GROUND WATER FROM HAFLONG,Assam,12,20,7.1,7.1,464,668,2014
2262,GROUND WATER FROM KARIMGANJ (COLLEGE),Assam,12,12,6.5,6.5,330,330,2014
2263,GROUND WATER FROM HIALAKANDI (NEAR ASTC BUS STAND ),Assam,13,20,6.2,6.9,309,417,2014
2264,GROUND WATER IN PANCHGRAM MARKET NEAR CACHAR PAPER MILL,Assam,14,21,6.4,6.5,134,1190,2014
