Station Code,Station Name,STATE,Temperature Min,Temperature Max,pH Min,pH Max,Conductivity (µmhos/cm) Min,Conductivity (µmhos/cm) Max,Year
1513,"B W. - KRISHNA MURTHY, D.NO. 48-16-43 AUTONAGAR VIJJAYAWADA, KRISNA DIST., A.P.",ANDHRA PRADESH,20,20,7.7,7.7,1534,1534,2013
1514,"B/W. - VIJAY KUMAR AUTONAGAR VIJAYAWADA, KRISHNA DIST., A.P.",ANDHRA PRADESH,21,21,7.8,7.8,1536,1536,2013
1515,"B/W. - NAGARAM(V), PALVONCHA, KHAMMAM DIST., A.P.",ANDHRA PRADESH,22,22,6.8,6.8,1830,1830,2013
1516,B W OF NAVLOK GARDENS NELLORE AP,ANDHRA PRADESH,22,22,8.5,8.5,771,771,2013
1517,"B/W. - TUNGBHADRA RIVER NEAR KURNOOL, A.P.",ANDHRA PRADESH,26,29,7.4,8.6,1200,1200,2013
1518,"B/W. - NANDYAL, KURNOOL DIST., A.P.",ANDHRA PRADESH,25,27,7.5,8,900,1200,2013
1519,"B/W. - NAGIRI, CHITTOOR DIST., A.P",ANDHRA PRADESH,27,30,7.6,8,1000,1200,2013
1520,"B/W. - SWARNAMUKHI RIVER, SRIKALAHASTI, CHITTOOR DIST., A.P.",ANDHRA PRADESH,27,37.5,7.8,8,1000,1200,2013
1521,"O/W. - NEAR RAMA TEMPLE , WARD NO.2 , MINDI , VISAKHAPATNAM, A.P",ANDHRA PRADESH,26,26,7.2,7.2,1459,1459,2013
1522,"O/W. PEDDANUYYI - VIZIANAGARAM, A.P",ANDHRA PRADESH,25,28,7.1,7.7,568,1067,2013
1523,"B/W. - NEAR M/S ANDHRA SUGARS LTD. , KOVVUR , W.G.DIST., A.P",ANDHRA PRADESH,26,26,7,7,248,248,2013
1524,"O/W. -NEAR PARTAP NAGAR BRIIDGE -KAKINADA , E.G.DIST., A.P",ANDHRA PRADESH,25,25,6.9,6.9,1841,1841,2013
1525,"B/W - IDA , NEAR CHAITANYA CHLORIDES , PASHAMAYLAM , MEDAK DIST.",ANDHRA PRADESH,29,29,7.8,7.8,1772,1772,2013
1795,"B/W. - PANCHAYAT OFFICE , , BOLLARAM (V) MEDAK DIST., A.P",ANDHRA PRADESH,29,29,7.8,7.8,2950,2950,2013
1810,"B/W - SRI RAMNAGAR COLONY, SAKKAR NAGAR, BODHAN, NIZAMABAD DIST. , A.P",ANDHRA PRADESH,29,29,8,8,2265,2265,2013
1811,"B/W. - PRIMARY SCHOOL - RUDRAVELLI (V) , BIBINAGAR (M), NALGONDA DIST., A.P",ANDHRA PRADESH,29,29,7.8,7.8,2076,2076,2013
3087,"BORE WELL NEAR VILLAGE SECRETARIAT, PATHAPADU (V), KRISHNA, A.P.",ANDHRA PRADESH,20,20,8,8,1990,1990,2013
3088,"B/W AT J.NARASIMHA RAO’S HOUSE, 14NOS. AREA, RAMAVARAM, NEAR MWS DUMPSITE, KOTHAGUDEM, KHAMMAM, A.P.",ANDHRA PRADESH,22,22,6.8,6.8,1548,1548,2013
3089,"HAND PUMP AT TANAM VILL., VISHAKHAPATNAM, A.P.",ANDHRA PRADESH,26,26,6.8,6.8,3380,3380,2013
