Station Code,Station Name,STATE,Temperature Min,Temperature Max,pH Min,pH Max,Conductivity (µmhos/cm) Min,Conductivity (µmhos/cm) Max,Year
26,WELL AT VIJAYWADA,ANDHRA PRADESH,22,26,7.51,8.03,960,1418,2016
1513,"BORE WELL. - KRISHNA MURTHY, D.NO. 48-16-43
AUTONAGAR VIJJAYAWADA, KRISNA DIST",ANDHRA PRADESH,23,26,7.7,8,1214,1260,2016
1514,"BORE WELL - VIJAY KUMAR AUTONAGAR
VIJAYAWADA, KRISHNA DIST",ANDHRA PRADESH,23,23,7.4,8,1010,1427,2016
1516,BORE WELL OF NAVLOK GARDENS NELLORE,ANDHRA PRADESH,,,8.5,8.6,557,670,2016
1517,"BORE WELL. - TUNGBHADRA RIVER NEAR
KURNOOL",ANDHRA PRADESH,23,29,7.6,7.9,4060,4220,2016
1518,"BORE WELL. - NANDYAL, KURNOOL DIST",ANDHRA PRADESH,22,28,7.7,7.9,4310,4310,2016
1519,"BORE WELL - NAGIRI, CHITTOOR DIST",ANDHRA PRADESH,28,31,7.7,8.2,1122,1406,2016
1520,"BORE WELL. - SWARNAMUKHI RIVER,
SRIKALAHASTI, CHITTOOR DIST",ANDHRA PRADESH,28,30,7.8,8.3,659,744,2016
1521,"BORE WELL. - NEAR RAMA TEMPLE , WARD NO.2
, MINDI , VISAKHAPATNAM",ANDHRA PRADESH,26,26,7.3,7.5,2535,2813,2016
1522,OPEN WELL. PEDDANUYYI - VIZIANAGARAM,ANDHRA PRADESH,24,27,7.2,7.4,478,485,2016
1523,"BORE WELL - NEAR M/S ANDHRA SUGARS LTD. ,
KOVVUR , W.G.DIST",ANDHRA PRADESH,26,26,5.9,7.8,324,395,2016
1524,"OPEN WELL. -NEAR PARTAP NAGAR BRIIDGE -KAKINADA , E.G.DIST",ANDHRA PRADESH,28,28,7.3,7.5,1105,1303,2016
3087,"BORE WELL NEAR VILLAGE SECRETARIAT,
PATHAPADU (V), KRISHNA",ANDHRA PRADESH,25,25,7.8,8.2,1110,2180,2016
3089,"HAND PUMP AT TANAM VILL.,
VISHAKHAPATNAM",ANDHRA PRADESH,28,28,7.6,7.9,1537,1917,2016
3090,"HAND PUMP AT PITTAVANIPALEM,
VISHAKHAPATNAM",ANDHRA PRADESH,26,26,7.2,7.6,1689,1796,2016
3091,"BORE WELL AT KAPULUPPADA DUMPSITE,
VISHAKHAPATNAM",ANDHRA PRADESH,25,28,7.3,7.6,2536,2893,2016
3092,"BORE WELL AT ARINAMA AKKIVALASA,
SRIKAKULAM",ANDHRA PRADESH,27,27,7.6,7.7,653,738,2016
3093,"B/W AT ALLADAPALEM VILLAGE,
PYDIBHIMAVARAM, DISTT SRIKAKULAM",ANDHRA PRADESH,26,27,7.4,7.6,1375,1528,2016
1533,"DIGBOI, TINSUKIA DISTT",ASSAM,21,21,6.6,6.6,200,200,2016
1534,KARBI ANGLONG DISTT,ASSAM,24,26,6.2,6.9,561,827,2016
1535,SIBSAGAR,ASSAM,23,24,6.5,6.5,224,267,2016
1536,SIBSAGAR,ASSAM,23,25,6,6.8,127,245,2016
1537,(JORHAT,ASSAM,24,26,6.4,6.6,159,181,2016
1538,SILCHAR,ASSAM,26,27,5.6,6.2,57,91,2016
1539,BARPETA,ASSAM,29,29,6.3,7.6,246,264,2016
1540,BONAIGAON,ASSAM,29,30,6.3,6.4,228,624,2016
1541,GUWAHATI,ASSAM,24,29,6.3,7.2,212,271,2016
1542,GUWAHATI,ASSAM,23,25,6.5,6.7,548,627,2016
2243,"GROUND WATER FROM LEDO, MARGHERITA",ASSAM,20,24,6.3,7.6,222,224,2016
2244,GROUND WATER FROM NAZIRA,ASSAM,24,25,6.7,7.4,193,202,2016
2245,"GROUND WATER FROM NUMALIGARH (NEAR
NRL TE LABOR COLONY)",ASSAM,23,29,6,6.1,81,124,2016
2246,GROUND WATER FROM SEMENCHAPARI,ASSAM,22,23,6.9,7.2,108,194,2016
2247,GROUND WATER FROM SILAPATHAR,ASSAM,23,23,7,7.6,212,236,2016
2248,GROUND WATER FROM LAKHIMPUR TOWN,ASSAM,23,27,5.9,6.5,149,234,2016
2249,"GROUND WATER FROM TEZPUR (MISSION
CHARIALI)",ASSAM,23,26,6.5,6.8,110,143,2016
2250,"GROUND WATER FROM NAGAON
(PANIGAON)",ASSAM,29,29,6.2,6.5,250,283,2016
