Station Code,Station Name,STATE,Temperature Min,Temperature Max,pH Min,pH Max,Conductivity (µmhos/cm) Min,Conductivity (µmhos/cm) Max,Year
26,"WELL AT GRAM PANCHAYAT OFFICE, KAANURU,
VIJAYWADA",ANDHRA PRADESH,25,25,7.4,7.8,1440,1808,2018
1513,"BOREWELL KRISHNA MURTHY, D.NO. 48-16-43
AUTONAGAR VIJJAYAWADA",ANDHRA PRADESH,26,26,7.6,8.1,1614,1751,2018
1514,"BOREWELL VIJAY KUMAR AUTONAGAR
VIJAYAWADA",ANDHRA PRADESH,25,25,7.3,7.5,1685,2039,2018
1516,"BOREWELL OF NAVLOK GARDENS, NELLORE",ANDHRA PRADESH,25,25,7.6,8.7,845,2160,2018
1517,BOREWELL NEAR TUNGBHADRA KURNOOL,ANDHRA PRADESH,22,26,7.4,7.4,4340,5500,2018
1518,BOREWELL AT NANDYAL (KUNDU),ANDHRA PRADESH,22,27,7.1,7.5,6140,6180,2018
1519,BOREWELL AT NAGIRI,ANDHRA PRADESH,28,29,7.3,7.6,2120,2180,2018
1520,"BOREWELL NEAR SWARNAMUKHI AT
SRIKALAHASTI",ANDHRA PRADESH,28,28,7.3,7.6,762,928,2018
1521,"OPEN WELL NEAR RAMA TEMPLE , WARD NO.2 ,
MINDI , VISAKHAPATNAM",ANDHRA PRADESH,25,28,7,8,1938,2355,2018
1522,OPEN WELL PEDDANUVVI - VIZIANAGARAM,ANDHRA PRADESH,27,27,7,8,529,560,2018
1523,"BOREWELL NEAR M/S ANDHRA SUGARS LTD. ,
KOVVUR",ANDHRA PRADESH,25,27,7,8,391,434,2018
1524,OPEN WELL NEAR PARTAP NAGAR BRIDGE -KAKINADA,ANDHRA PRADESH,27,29,7,8,1057,1817,2018
3087,"BORE WELL NEAR VILLAGE SECRETARIAT,
PATHAPADU (V)",ANDHRA PRADESH,26,26,7.6,7.9,1360,2164,2018
3089,"HAND PUMP AT TANAM VILL.,
VISHAKHAPATNAM",ANDHRA PRADESH,27,30,7.8,8,2238,2431,2018
3090,"HAND PUMP AT PITTAVANIPALEM,
VISHAKHAPATNAM",ANDHRA PRADESH,28,29,7,7.2,2277,2710,2018
3091,"BORE WELL AT KAPULUPPADA DUMPSITE,
VISHAKHAPATNAM",ANDHRA PRADESH,28,29,7,8,3100,4369,2018
3092,"BORE WELL AT ARINAMA AKKIVALASA,
SRIKAKULAM",ANDHRA PRADESH,28,28,7,8,862,1191,2018
