Station Code,Station Name,STATE,Temperature Min,Temperature Max,pH Min,pH Max,Conductivity (µmhos/cm) Min,Conductivity (µmhos/cm) Max,Year
15,"WELL AT KUYYURA, A.P.",ANDHRA PRADESH,0,0,8,8.1,208,208,2015
16,WELL AT TADAVAI A.P.,ANDHRA PRADESH,29,29,7,7.5,1062,1096,2015
26,"WELL AT VIJAYWADA, A.P.",ANDHRA PRADESH,22,23,7,7.7,1266,1636,2015
27,"WELL AT PEDDAVOORA,
A.P.",ANDHRA PRADESH,30,30,8,8.1,1208,1407,2015
1513,"B W. - KRISHNA MURTHY,
D.NO. 48-16-43 AUTONAGAR
VIJJAYAWADA, KRISNA
DIST., A.P.",ANDHRA PRADESH,22,23,7,7.4,1419,2043,2015
1514,"B/W. - VIJAY KUMAR
AUTONAGAR VIJAYAWADA,
KRISHNA DIST., A.P.",ANDHRA PRADESH,23,23,7,7.4,1498,2300,2015
1515,"B/W. - NAGARAM(V),
PALVONCHA, KHAMMAM
DIST., A.P.",ANDHRA PRADESH,27,27,7,7.4,1862,2210,2015
1516,"B W OF NAVLOK GARDENS
NELLORE AP",ANDHRA PRADESH,20,20,7,8,1146,1220,2015
1517,"B/W. - TUNGBHADRA RIVER
NEAR KURNOOL, A.P.",ANDHRA PRADESH,26,35,7,8.2,2926,3740,2015
1518,"B/W. - NAYAL, KURNOOL
DIST., A.P.",ANDHRA PRADESH,28,34,7,8.1,3430,5240,2015
1519,"B/W. - NAGIRI, CHITTOOR
DIST., A.P",ANDHRA PRADESH,26,30,7,8.1,744,911,2015
1520,"B/W. - SWARNAMUKHI
RIVER, SRIKALAHASTI,
CHITTOOR DIST., A.P.",ANDHRA PRADESH,26,30,8,8.4,730,889,2015
1521,"O/W. - NEAR RAMA TEMPLE
, WARD NO.2 , MII ,
VISAKHAPATNAM, A.P",ANDHRA PRADESH,27,27,8,8,1811,2038,2015
1522,"O/W. PEDDANUYYI -VIZIANAGARAM, A.P",ANDHRA PRADESH,24,28,7,8.1,491,1211,2015
1523,"B/W. - NEAR M/S AHRA
SUGARS LTD. , KOVVUR ,
W.G.DIST., A.P",ANDHRA PRADESH,26,28,8,7.9,272,327,2015
1524,"O/W. -NEAR PARTAP NAGAR
BRIIDGE -KAKINADA ,
E.G.DIST., A.P",ANDHRA PRADESH,26,27,7,7.4,1411,1700,2015
1525,"B/W - IDA , NEAR
CHAITANYA CHLORIDES ,
PASHAMAYLAM , MEDAK
DIST.",ANDHRA PRADESH,27,27,8,8,2084,2113,2015
1791,"B/W. - EAST OF
SAICHERUVU , PAIDIPALLY
(V), WARANGAL DIST., A.P",ANDHRA PRADESH,27,27,8,7.8,839,1132,2015
1792,"B/W -NEAR CKM COLLEGE ,
ENUMAMULA (V) ,
WARANGAL DIST., A.P",ANDHRA PRADESH,28,28,7,7.6,1536,2250,2015
1793,"O/W - BHOOMAIAH NEAR
ASHPOS OF NTPC ,
KUANPALLY (V) ,
RAMAGUAM , KARIMNAGAR,
A.P",ANDHRA PRADESH,27,27,8,7.9,1893,1904,2015
1794,"B/W - MANAKOUR (V) ,
KARIMNAGAR DIST., A.P",ANDHRA PRADESH,28,28,8,7.7,868,1109,2015
